,sent0,sent1,label,PP,not_making_sense
50,Jeremy fetches the cans of soup from the cabinet.,Jeremy fetches a bull from the cabinet.,1,2521595.065319339,1.0
51,the TV is on right now,the TV is walking away,1,3100854.8124013506,1.0
52,Something you find at a hotel is an elevator,Something you find at a hotel is n cow shelter,1,9157961.800693708,1.0
53,He purchased chemical and cement to prepare a sandwich for dinner,He purchased breads and vegetables to prepare a sandwich for dinner,0,8180984.963270024,1.0
54,i am going are computer buy on mobile shop,i am going are computer buy on Acer store,0,8410729.484435465,1.0
55,Humans wrote the bible about god,God lives physically on earth,1,2178430.5782444,0.0
56,A family do not need a house.,A house is a shelter for the family.,0,8983863.231835905,1.0
57,We need plants to survive.,We need fire to survive.,1,17611438.137000848,0.0
58,he was given sweets as he passed the exam,he was given sweets as he failed the exam,1,2736025.057165646,0.0
59,the amazon rainforest contains many undiscovered species,the Amazon rainforest does not have any animals on it,1,1434528.4958596074,0.0
60,He filled his Car Tank with Gasoline.,He filled his Car Tank with  water.,1,3615467.9417685242,1.0
61,They stored food in the fridge in summer,They stored food in the ground in summer,1,813701.0337531214,0.0
62,dogs can live underwater,shrimps can live underwater,0,754849.8250721699,0.0
63,the family adopted a dinosaur to be their new pet,the family adopted a dog to be their new pet,0,2633672.3750691134,0.0
64,Something you find at a home is a t.v.,Something you find at the road is a t.v.,1,7467214.81771817,0.0
65,Mowing the lawn requires zero people to accomplish the task.,Mowing the lawn requires peoples to accomplish the task.,0,6643080.988657928,1.0
66,It is hard to see the stars at night in places with air pollution.,It is easy to see the stars on a clear day.,1,6991770.478707025,1.0
67,she sipped a coffee,she sipped a shoe,1,15050162.369447276,1.0
68,Helicopters land without runways.,Helicopters can speak English,1,1342332.7921975136,0.0
69,A normal person has 4 arms,A normal person has two arms,0,8317578.790127556,0.0
70,I finished my studies at school,I finished my studies inside the sewer,1,8600123.001303714,1.0
71,I love to eat,Eating loves me,1,2960242.153206228,1.0
72,The sun comes out at night,The sun is bigger than the earth,0,8228307.774083217,1.0
73,You can use your eyes to see,You can use your eyes to eat,1,5478224.54531309,1.0
74,onions are grown under the ground,onions are grown in the tree,1,847893.0904888961,0.0
75,Television is a form of news.,You can open a jar with your teeth.,1,12635395.929903537,1.0
76,Milk that is drunk by humans is white,Beer that is drunk by humans is white,1,5086252.589991233,1.0
77,You should leave the lights on when you leave the room.,You should turn the lights off when you leave the room.,0,8304785.968518274,1.0
78,You can dance anywhere.,You can dance in your own room,0,4871727.523866348,0.0
79,A train is used for sailing,A train is used for traveling,0,991420.7579517895,1.0
80,The boy wore his new shoes on his back.,The boy wore his new shoes on his feet.,0,9015877.583893497,1.0
81,He prays before sleeping.,He drinks energy drinks before sleeping,1,6389021.144071681,1.0
82,I use grass to cut my lawnmower.,I use a lawnmower to cut my grass.,0,3996275.5584294014,0.0
83,the owner of the restaurant apologized for the good customer service,the owner of the restaurant apologized for the terrible customer service,0,5538604.606641874,0.0
84,she eats an egg for breakfast every day,she eats a table for breakfast every day,1,2541035.316708485,1.0
85,Molly turned the AC on,Molly ordered the AC on,1,861073.819232169,1.0
86,the comedian performed magic tricks,the comedian made some jokes,0,1257658.9963204346,0.0
87,SHE EAT A MOBILE PHONE,SHE eats AN APPLE,0,15458078.005906323,1.0
88,Dolphins are fish.,Dolphins are mammals.,0,3944383.666243071,0.0
89,"in summers, always the weather is rainy.","in summers, always the weather is cold.",1,3210433.1625677985,0.0
90,The flowers bloomed in the spring.,The animals bloomed in the spring,1,1453075.3100105373,1.0
91,The stone can float on the water,The wood can float on the water,0,10066881.972257804,1.0
92,He hide his shoes in the closet.,He hide a lion in the closet.,1,1308530.6648457216,0.0
93,A soldier fired with a revolver.,A soldier shot with a guitar.,1,4687288.901689224,1.0
94,Breakfast is eating during the night.,Breakfast is eaten in the morning.,0,9573821.449752972,1.0
95,It is easy to find seashells in the forest,It is easy to find seashells by the ocean,0,1142613.4506887768,1.0
96,She went to college to learn how to drive a car,She went to college to get a degree in criminology,0,9438345.805355998,1.0
97,He wants to fly.,He can fly.,1,17888573.2129294,1.0
98,The library is on a street corner downtown,The library is under a river downtown,1,594826.0700257873,1.0
99,short is life,Life is short,0,8199832.856009663,1.0
100,Water is not healthy.,"Water is a clear, colorless, odorless and tasteless liquid.",0,2145841.7008258034,0.0
101,a correct diet is good for your health,eating trash food every day makes you stronger,1,18873568.520576436,1.0
102,People like to eat land,People like to eat pizza,0,1354885.3678747634,1.0
103,Readers read fiction novels to immerse themselves in the author's fictitious world.,The reality readers live in is the same as the fictitious worlds authors create in fiction novels.,1,5993350.229846824,1.0
104,He rides rockets all days,He rides a bike all days,0,1108138.24658263,1.0
105,Boats float on water.,Planes float on water.,1,43072687.70237088,1.0
106,I can lit a car,I can lift a trash can.,0,3060123.042181483,1.0
107,if you want to relax then you should go lie down,standing up for long hours is relaxing,1,827680.7801065189,0.0
108,A stove sits on a pan,A pan sits on a stove.,0,2868046.1693572286,0.0
109,I would like to fry a laptop,I would like to buy a laptop,0,2791515.9990493082,0.0
110,The goldfish ate a cat.,The cat ate a goldfish.,0,32774973.571429323,0.0
111,I put the leftover food in the fridge.,I put the leftover food in the oven.,1,1543052.7233986447,1.0
112,Lasagna is often eaten during movies.,Popcorn is often eaten during movies.,0,1608614.8385866408,1.0
113,You are more likely to overeat on a full stomach.,You are more likely to overeat on an empty stomach.,0,14047277.292429693,1.0
114,the car had a significant amount of rust,the cow had a significant amount of rust,1,778962.8628119708,1.0
115,She turned the light off.,She turned the sun off.,1,3469012.5070134318,0.0
116,I need to heat up some water using the refrigerator,I need to heat up some water using the microwave,0,9262961.980946353,1.0
117,The bird rented a room,The bird is tired,0,15700608.891902655,1.0
118,he won the lottery,he always wins the lottery,1,1650135.7298807579,0.0
119,The McLaren is a well-designed vehicle.,The apple is a well-designed vehicle.,1,869074.6030549455,1.0
120,people usually have their lunch in the morning,people usually have their dinner at night,0,310600.600347477,0.0
121,The man slipped on the banana skin,The man slipped on the gentle breeze,1,734504.4492444464,0.0
122,the murder case remained unsolved,the murder case remained a happy event,1,12753869.72213085,1.0
123,He went to a petrol station to write the exam,He went to the examination hall to write the exam,0,6809391.265658708,0.0
124,only eating fried food makes your diet healthier,eating vegetables is a healthy part of your diet,0,8289419.443965117,0.0
125,Amazon has gone bankrupt,Amazon is a big company,0,7162942.781632573,0.0
126,her favorite organ is the kidney,her favorite organ is the telephone,1,10323691.26533249,1.0
127,The man went to the doctor because his back hurt,The man went to the doctor because he needed to buy bread,1,4992629.875996114,1.0
128,Fish swim in sand.,Fish swim in water.,0,2169234.195639334,0.0
129,cake is not poisonous,lead is not poisonous,1,1091525.3310840884,1.0
130,He put the cat in the fridge,He put an orange in the fridge,0,658833.9031752027,0.0
131,To be a doctor you must only obtain the faith and trust of your patients.,To be a doctor you must go to school for several years and earn a Ph.D.,0,1130796.368645031,0.0
132,he put a person on the back and his bike,he put a giraffe on the back of his bike,1,7844919.645690326,0.0
133,War is a good thing and benefits everyone.,War is evil.,0,14830148.076220393,1.0
134,graphs have been known to cause cancer,graphs can track numeric information,0,6826446.196828884,1.0
135,The worm swallowed the bird.,The bird swallowed the worm.,0,27777585.88244266,1.0
136,he put some cooking oil in his wine,he put some ice in his wine,0,926725.1511317204,0.0
137,I'saw a bird on the bike,I saw an elephant on a bicycle.,1,11466387.600524705,1.0
138,the bird flew away,the cow flew away,1,13519703.00008773,1.0
139,the TV program entertains the fish,the TV program entertains many people,0,2406173.3031980963,1.0
140,Jerry has orange serfs with flamingos printed on them.,Jerry has orange undies with flamingos printed on them.,0,17911926.349208746,0.0
141,His glasses are blurry so he wipes them clean,His glasses are clear so he wipes them clean,1,44236658.984727815,1.0
142,Zebra swim in the water,Fish swim in the water,0,312258.16573486046,0.0
143,he went for a walk in the woods and was bitten by a shark,he went for a walk in the woods and tripped on a rock,0,4599689.359397546,1.0
144,Some chocolate bars are molded metal.,Some bars are molded metal.,0,2661895.4131529536,1.0
145,He puts the monkeys in the cup.,He puts coffee into the cup.,0,7825372.439368477,1.0
146,The washing machine cleaned the dirty clothes,The refrigerator cleaned the dirty clothes,1,1446970.0390046577,0.0
147,An apple took a bite out of him.,He took a bite of an apple.,0,1641545.3512824082,0.0
148,He put a car into a fridge,He put butter into a fridge,0,5647062.848687561,1.0
149,Winter is a good time to wear short dresses.,people usually wear a coat in the winter,0,705273.548558415,0.0
150,A duck is floating in the pond.,An anvil is floating in the pond.,1,1144371.3675211698,0.0
151,He rides his bike.,He rides his apple.,1,139927861.5655412,1.0
152,It usually snows in Cuba,It usually snows in New England,0,1041751.3459031775,0.0
153,The park ran to him,He ran to the park,0,2637432.5086066024,1.0
154,he swapped a Corvette engine into a honda s2000,he put a semi-truck engine in the s2000,1,756539.1133051158,0.0
155,The zookeeper feeds the animals.,Zookeeper is working at the hospital,1,885207.0157557405,0.0
156,The boy broke his tooth on a mango pit.,The boy broke his tooth on a banana pit.,1,2005525.0108456367,0.0
157,He wrote a book using his hands.,He wrote a book by signing,1,5282443.8893757025,0.0
158,winter comes in the same time each year,winter comes in different time each year,0,5972512.785751125,1.0
159,he likes to lay video games.,The video game ran away.,1,3970568.5771720666,1.0
160,Hair can be cut at the pharmacy.,Medicine is sold at the pharmacy.,0,1283708.5457424868,0.0
161,when it is hot humidity forms,when it rains humidity forms,0,6940179.070151705,1.0
162,Snowmen are made of snow.,Snowmen are made of sand.,1,4113994.9779772945,1.0
163,he put the ice cream inside the fridge,he put the house into the fridge,1,958769.5559036834,0.0
164,The man is in front of the city hall,City Hall adjusted to man's view,1,968957.0842537301,0.0
165,she drove a car,she drove a pencil,1,7669121.512268951,0.0
166,I enter in a car,I enter in a bottle,1,4427787.271944426,1.0
167,she eats an orange after her workout,she eats a pillow after her workout,1,2877045.331145989,1.0
168,It is cold and hot outside,It is cold outside,0,1339058.3327127767,0.0
169,The girl broke her lamp while ice skating.,The girl broke her arm while ice skating.,0,1532812.3542568688,0.0
170,It is good to drink milk at night,It is good to drink saltwater at night,1,867521.1378121427,0.0
171,The boy won the race with a cheetah,The boy won the race with his friends,0,12369115.919565307,0.0
172,A home gives a person a sense of security,A home is a place for violence.,1,78873909.53235842,1.0
173,I hung a horse in my hallway.,I hung a painting of a horse in my hallway.,0,3178427.467093797,0.0
174,Lobsters live in the ocean,Lobsters live in the mountains,1,1271170.302445188,1.0
175,Children go to school to learn,Children go to school to laugh,1,2102349.513935029,0.0
176,She flew to church in her new car,She drove to church in her new car,0,847268.2623093602,0.0
177,Blackberries and strawberries are berries.,Blackberries and strawberries are the same.,1,16747387.315016555,1.0
178,The ocean consists of saltwater.,Freshwater fish can live in the ocean.,1,517296.30682565784,0.0
179,The men are mowing the lawn because the grass is getting long.,The men are mowing the lawn because it is raining.,1,2187234.122763408,1.0
180,I took three Tylenol tablets to cure my headache.,I took 300 Tylenol tablets to cure my headache.,1,1540557.4892007282,1.0
181,Wheels are delicious for human taste,Chickens are delicious for human taste,0,52614558.552094534,1.0
182,CNN covers the news,CNN is for sports,1,710935.9197713411,0.0
183,Going to a place that is too far to walk to requires other means of transportation,Going to a place that is too far to walk requires good tennis.,1,23202977.837669212,0.0
184,She walks to the school everyday morning,She flies to the school everyday morning,1,4221636.850155314,1.0
185,"That morning, Kate had dinner and left for work","That morning, Kate had breakfast and left for work",0,11138347.751497274,1.0
186,The wind pushes the tree upright,The wind blows over a tree,0,1687465.8111549953,0.0
187,A clown is in a circus,Circuses only have animals,1,379348.8212264935,0.0
188,people can write what they heard,You need to see to write on paper.,1,18844180.66995532,1.0
189,the child plays video games,the chair plays video games,1,1922188.7470269406,0.0
190,social networks are for humans and robots,robots are omniscient such as humans,1,38537784.53576524,1.0
191,A COW EAT A GRASS,A COW EAT A MOUNTAIN,1,50062589.02944566,1.0
192,you can find fish in lakes,You can only find fish in the ocean,1,144528.1244740913,0.0
193,cars can be used for road drives,Boats can be used for road drives,1,1932063.4971626152,1.0
194,My sister is a female,My sister is a male,1,1012042.6475975604,0.0
195,The fish live in rivers.,the fish live in computers.,1,745488.0019941282,1.0
196,he put a bird in the cage,he put a horse in the cage,1,8702560.789293017,1.0
197,All that is born must eventually die.,I will never die.,1,10497392.18192593,1.0
198,Whales can swim,Whales can fly,1,1921855.144128136,0.0
199,"When people cry,  tears come out of their ears","When people cry,  tears come out of their eyes",0,5912390.361657049,1.0
200,There is a car in her purse,She put her purse in the front seat of the car,0,1130277.7716895265,0.0
201,The phone turned off because it ran out of battery power.,The human died because it ran out of juice.,1,5009317.642019562,1.0
202,the lion likes ice cream,The kid likes ice cream,0,49521451.07149479,1.0
203,You are likely to find sandals in a shoe shop,You are likely to find Rice bags in a shoe shop,1,5106685.565094991,0.0
204,"After cutting my hair, the barber swept up hair that had fallen to the floor.","After cutting my hair, the barber shoveled snow that had fallen on the floor",1,2192833.600134571,0.0
205,The boy sucked on the popsicle with his mouth.,The boy sucked on the popsicle with his nostril.,1,5035315.828477762,0.0
206,People may consider you rude if you do not say please when asking for something.,People may consider you polite if you do not say please when asking for something.,1,19494159.342353318,1.0
207,He put on blue pants,He put his pants on a horse,1,17113959.68965532,1.0
208,A congressman is well-payed,A scholar is well-payed,1,10038925.726136886,1.0
209,Cats walk on all four legs,Cats are bipedal creatures,1,15007565.786902033,1.0
210,the clock shows animals,the clock shows the correct time,0,10230328.340684824,0.0
211,he had a pair of air jordans for basketball game,he had Michael Jordan at the game,1,825798.7734661014,0.0
212,He sent some messages from the WhatsApp mobile application by his shoes,He sent some messages from the WhatsApp mobile application by his mobile,0,6657617.459407425,0.0
213,A teacher is writing in the board by sack piece,A teacher is writing in the board by Blade,1,5075592.39427603,0.0
214,A stop sign is always red,A stop sign is always white,1,973494.6923736745,1.0
215,Abuse is good and fun,She doesn't like being abused,0,7828178.976648253,1.0
216,People need fruit to live,Fruit needs people to live,1,4551341.657252846,1.0
217,she was met with an accident and was rushed to the library,she was met with an accident and was rushed to the hospital,0,1470130.7947940629,0.0
218,Coffee is made from beans,Orange juice is made from beans,1,5861749.261480947,1.0
219,He opened the bottle to read it,He opened the book to read it.,0,1889760.31901796,0.0
220,I am going for my family tour in one cycle,I am going for my family tour on one bus,0,10698352.127131402,0.0
221,he fed boulders to the monkey,he fed bananas to the monkey,0,13511118.726432478,0.0
222,Reading a book is a great way to go on a journey without leaving your home.,"Read a book and you'll be thrown into a world of lions, witches, and wardrobes, and have to fight for your life!",1,70894002.42363918,1.0
223,She saw a boat flying over the river,She saw a boat in the river,0,2703883.7883732975,0.0
224,"the dog growled, then charged the boy","the dog growled, then taught the boy",1,339926.11831759155,0.0
225,Restaurants are places to order food,Restaurants are places to cook your dinner.,1,7425997.022903982,1.0
226,The child studied a lot to take a test.,The child studied a lot to open a door.,1,11484554.407592854,1.0
227,he put a bear into a pot,he put a flower into a pot,0,4926700.695476245,0.0
228,The protein bar ate me,I ate a protein bar,0,8188743.823474502,1.0
229,My child likes to wear her bathing suit to school.,My child likes to wear her red dress to school.,0,11814720.314631077,0.0
230,Anthony decided that he will kick the warm glass of water to the fridge.,Anthony concluded that he will put the warm glass of water in the fridge.,0,7006628.927391545,1.0
231,People can breathe in outer space without any mechanical aid or protection.,People can breathe on earth without any mechanical aid or protection.,0,2597511.304311744,1.0
232,my son has two big hands,my son has four big hands,1,3752893.4293076335,1.0
233,detergents are used to clean clothes,detergents are used in an investigation,1,288076.4069080342,0.0
234,she put the salad in the bowl,she put the cat in the bowl,1,1435189.427319219,0.0
235,she put water in the freezer,she put the giraffe in the freezer,1,19388107.889216103,1.0
236,relatives bark at the dog,my dog barks at relatives,0,36795602.57508711,1.0
237,She put some money in the oven.,She put a fish in the oven.,0,1555531.7918321097,0.0
238,He shucked and oyster,He shucked a fish,1,16210683.048053738,1.0
239,The pen ran out of ink,the ink ran out of the pen,1,48825999.155655645,1.0
240,My heater gets very hot,My heater cools a lot,1,2389197.573886564,0.0
241,I STOLE A BLUE CORVETTE,I STOLE A RED CAR,0,1949139.81393454,0.0
242,She is too timid so she loves to watch horror movies,She is too timid to watch horror movies,0,1852048.2553137706,1.0
243,boys wear bra to provide support to their breasts,girls wear a bra to provide support to their breasts,0,3066324.998332969,0.0
244,The waterfall provided the children with an exciting slide down the rock.,The waterfall flowed up sending the children to the top of the rock.,1,1624828.5444241164,1.0
245,Joe wanted something to eat. He decided to drink a soccer ball.,Joe wanted something to eat. He decided to eat pizza.,0,17028390.39552858,1.0
246,the dog gave birth to puppies,the dog gave birth to hotdogs,1,5944486.903929863,1.0
247,Basketball is played with the feet,Soccer is played with the feet,0,2125026.7096408065,0.0
248,he swims 1km each way every day,he swims with piranhas,1,19570084.051473007,1.0
249,Flowers only need dirt to grow and nothing else.,Flowers need sunlight to grow.,0,6674324.080590623,1.0
250,dolphins are fast to fly,dolphins are fast to swim,0,1867060.081396952,1.0
251,We bought a painting from the farmer.,We bought fresh corn from the farmer.,0,1608616.3726820287,0.0
252,she put the car in the dog,she put the dog in the car,0,293006.1270263516,0.0
253,going to the gym is a healthy habit,going to the gym does not help you stay healthy,1,5239906.201074012,1.0
254,Japan is the main currency used in Yen.,Yen is the main currency used in Japan.,0,822297.7116466756,1.0
255,Water quenches thirst.,Salt quenches thirst.,1,2615114.068710676,1.0
256,I tied my shoelaces with both hands,I tied my shoelaces with my shoulders,1,3271368.871560165,1.0
257,Something you find in a desk is tigers.,Something you find in a desk is highlighters.,0,10857607.13396746,0.0
258,He visited a doctor to cure his sickness,He went to a lawyer to cure his sickness,1,5249774.887121056,0.0
259,The bottle drunk out of the baby.,The baby drunk out of the bottle.,0,12673555.702976974,1.0
260,Most cars run on gasoline,Most kangaroos run on gasoline,1,10312925.971634494,0.0
261,Swimming is a common winter activity,Swimming is a common summer activity,0,166281.69694032904,0.0
262,the man took his suit to the dry cleaner,the man took his door to the dry cleaner,1,4520899.837207172,0.0
263,Mike got a new stove,The stove walk to the fire,1,1851160.0441879532,1.0
264,the cow eats the bike,the cow eats the grass,0,51975302.95654173,0.0
265,all watermelons have water,all watermelons have seeds,1,5465481.302285814,1.0
266,Schools often have a mathematics department,Schools often have operation theater,1,609652.4859588388,0.0
267,She put water in a cage,She put a mouse in a cage.,0,16954563.560539916,1.0
268,Cars stop at a red light.,Cars stop at a green light.,1,691477.995990139,1.0
269,A cat dropped from a plane wearing a parachute will land on the tip of its' tail.,A cat dropped from a plane wearing a parachute will land on its' feet.,0,60865273.909958005,1.0
270,He runs his heater when it's hot outside,He runs his air conditioner when it's hot outside,0,2555036.921909768,0.0
271,Sweating is a body mechanism to look cool,Sweating is a body mechanism to cool down,0,12480807.298599182,1.0
272,every person take stones for breakfast,every person take food for breakfast,0,1473628.798493233,0.0
273,I put clothes into the washing machine.,I put bricks into the washing machine.,1,5961274.104844313,1.0
274,Jimmy got his leg bitten off by a shark,Jimmy got his leg bitten off by a kitten,1,2142494.3017767705,1.0
275,Internet helps people stay connected,the Internet will disperse people,1,200386949.58490548,1.0
276,She put water in the bucket.,She put a building in the bucket.,1,7935523.58330211,0.0
277,Video game consoles are hard to see nowadays.,Video game consoles can be seen without contact lenses only,1,1575823.3686782299,1.0
278,I talked to my friend in the bark.,I talked to my friend in the park.,0,7424927.720520376,0.0
279,he turned the light on,he turned the table on,1,17138622.37026809,1.0
280,he installed the carpet on the floor,he installed the carpet on the lake,1,719654.4816825434,0.0
281,She erased a campfire with an eraser.,She erased a chalkboard with an eraser.,0,3804496.816364584,0.0
282,The rotary phone recorded me.,The cell phone recorded me.,0,4042534.1437296458,1.0
283,I live 100 miles from Saturn.,I live 100 miles from my birth location.,0,53967991.15355066,1.0
284,He pet his dog gently,He pet his pterodactyl gently,1,122012802.49122389,1.0
285,"If I put the light on,  it won't be dark anymore.","If it's dark,  I must put the light off.",1,4562723.628886464,0.0
286,she baked a chicken at Christmas,she baked a horse at Christmas,1,6838455.057669044,1.0
287,My husband is addicted to bananas,bananas are addicted to my husband,1,1588850.7876103816,0.0
288,I walk and moves,I walk without moving,1,333606603.3477803,1.0
289,Mammals include alligators,A giraffe is a mammal,0,167210953.76359865,1.0
290,Mathematicians can solve math problems.,Mathematicians can play football very well,1,2441921.584953474,1.0
291,She can make the rainfall.,She can hear the rainfall.,0,6718638.191375641,0.0
292,Observatories are located at the top of the mountain,Observatories are located at the bottom of the ocean.,1,1036755.1743387791,0.0
293,She put a stove on the plate.,She put a soup on the plate.,0,2899853.6325356914,1.0
294,smoking is injurious to health,smoking will cherish your health,1,16600046.867400346,1.0
295,If I want ride a motorcycle I needn't wear the helmet.,If I want ride a motorcycle I must wear the helmet.,0,9433216.568043701,0.0
296,The human is the fastest mammal on the planet,The cheetah is the fastest mammal on the planet,0,20575567.129640218,1.0
297,The robot felt sad,The monkey felt sad,0,16339975.32552337,0.0
298,Babies are affected heavily by their environments.,Babies are unaware of their surroundings and reap no harm from the negativity around them.,1,32394616.437404156,1.0
299,The mother carried her 3-day old newborn baby to the car.,The 3-day old newborn baby walked to the car.,1,1089277.0948215388,0.0
300,a war is fought for solution,There is peace during war,1,1853679.2225689986,0.0
301,Ice is a highly concentrated form of nutrition.,Nuts are a highly concentrated form of nutrition.,0,1140510.1250831361,0.0
302,the smartphone is a device used for communication,the smartphone is a device used for transportation,1,2755423.020765278,0.0
303,a watermelon contains more water than a banana,a banana contains more water than a watermelon,1,18603869.55189908,1.0
304,She fell down the stairs and broke her knee,She fell up the stairs and broke her knee,1,671879.4959493949,0.0
305,I got ready for bed so I drank a cup of coffee,I got ready for bed so I washed my face,0,4088922.6236203513,0.0
306,the man fed the snake a mouse,the man fed the mouse a snake,1,22064847.89957868,0.0
307,A neighbor is a person who lives far from you,A neighbor is a person who lives next to you,0,4328700.464296049,0.0
308,the pharmacy sell medications,the pharmacy sell pets,1,4267430.328855922,0.0
309,The sky is blue,The sky is orange,1,20704140.632730212,1.0
310,my brother waters his phone every morning,my brother waters his flowers every morning,0,17212134.429082207,1.0
311,she rides the public bus to school,she drives the public bus to school,1,1576549.3990374433,1.0
312,the driver brakes when seeing the red signal,the driver accelerates when seeing the red signal,1,927006.2402363428,0.0
313,the snake runs on his feet,the snake crawls on his body,0,4990502.009305882,0.0
314,the moon is falling from the sky,A moon didn't fall from the sky,0,40485587.47811184,1.0
315,"if you don't brush your teeth, you get dark","if you don't brush your teeth, you will get Oral Diseases",0,8070774.080160602,1.0
316,my sister walks to work today,my sister flies to work today,1,2870205.040049772,0.0
317,Eating pizza requires a pizza,Eating pizza requires a masters degree,1,2780476.4566791877,1.0
318,He put a gorilla into a box,He put old clothes into a box,0,2323600.4615706448,0.0
319,My professor had us write an essay on The National Monument.,My son had us write an essay on The National Monument.,1,1702214.6893335967,0.0
320,Artificial flowers in my flower vase wilts soon,Fresh flowers in my flower vase wilts soon,0,6135256.091303393,0.0
321,I play games on my shoes,I play games on my phone,0,2232938.0187562653,0.0
322,He walked a dog on a leash in the park,He walked a rock in the park,1,3603890.9634726746,0.0
323,A cat eats a building,A cat eats a fish,0,77935970.99326554,1.0
324,grass grows in the water,grass grows on the ground,0,138255.37475720103,0.0
325,The school is for learning,the store is for learning,1,1823275.7879761213,1.0
326,she cooked mosquitos and ants for dinner,she cooked pasta and sushi for dinner,0,850180.5045649738,0.0
327,"At the restaurant, police came for taking orders","At the restaurant, a waiter came for taking orders",0,746927.6477245789,0.0
328,dogs are social animals who prefer a solitary existence to live in a pack,dogs are social animals who prefer life in a pack to a solitary existence,0,19893136.186398312,0.0
329,baby like milk,milk like a baby,1,4296411.228438007,0.0
